"","Espece","Age","Aile","Masse","Annee"
"647","TAPI","AHY",76,12.3,2
"648","TAPI","HY",72,12.4,2
"649","TAPI","HY",70,11.8,2
"650","TAPI","HY",70,12.4,2
"651","TAPI","HY",71,12.5,2
"652","TAPI","HY",71,13.5,2
"653","TAPI","HY",69,12.5,2
"654","TAPI","HY",70,13.1,2
"655","TAPI","HY",72,14.2,2
"656","TAPI","AHY",70,12.9,2
"657","TAPI","AHY",77,13.9,2
"658","TAPI","AHY",74,14.1,2
"659","TAPI","AHY",72,12.3,2
"660","TAPI","HY",71,13.3,2
"661","TAPI","AHY",71,13,2
"662","TAPI","HY",70,12.7,2
"663","TAPI","AHY",74,13.1,2
"664","TAPI","HY",71,13.1,2
"665","TAPI","AHY",72,14.4,2
"666","TAPI","HY",74,14.2,2
"667","TAPI","AHY",72,12.7,2
"668","TAPI","AHY",74,13.3,2
"669","TAPI","HY",70,13.7,2
"670","TAPI","HY",68,13.6,2
"671","TAPI","AHY",71,13.2,2
"672","TAPI","HY",72,14.1,2
"673","TAPI","AHY",71,12.7,2
"674","TAPI","HY",69,13.2,2
"675","TAPI","AHY",70,12.5,2
"676","TAPI","HY",72,13.5,2
"677","TAPI","HY",69,12.1,2
"678","TAPI","HY",71,12.9,2
"679","TAPI","AHY",74,13.3,2
"680","TAPI","AHY",71,13.3,2
"681","TAPI","AHY",74,14.1,2
"682","TAPI","AHY",75,13.2,2
"683","TAPI","HY",69,15.5,2
"684","TAPI","HY",74,13.9,2
"685","TAPI","AHY",69,12.7,2
"686","TAPI","HY",70,12.7,2
"687","TAPI","AHY",74,13.1,2
"688","TAPI","AHY",74,13.1,2
"689","TAPI","AHY",73,13.1,2
"690","TAPI","HY",69,13.3,2
"691","TAPI","AHY",71,12.5,2
"692","TAPI","AHY",70,14,2
"693","TAPI","AHY",72,13.4,2
"694","TAPI","AHY",74,12.4,2
"695","TAPI","HY",69,12.2,2
"696","TAPI","AHY",72,14.8,2
"697","TAPI","AHY",72,16.2,2
"698","TAPI","HY",67,12,2
"699","TAPI","AHY",73,12.9,2
"700","TAPI","AHY",74,13.2,2
"701","TAPI","AHY",76,15.5,2
